MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210713,AK,33.91,66.09,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210706,AK,33.91,66.09,0.00,0.00,0.00,0.00,2021-07-06,2021-07-12,1
20210629,AK,98.96,1.04,0.00,0.00,0.00,0.00,2021-06-29,2021-07-05,1
20210622,AK,98.96,1.04,0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,1
20210615,AK,98.96,1.04,0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,1
20210608,AK,98.96,1.04,0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,1
20210601,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,1
20210525,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,1
20210518,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-05-18,2021-05-24,1
20210511,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-05-11,2021-05-17,1
20210504,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-05-04,2021-05-10,1
20210427,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-04-27,2021-05-03,1
20210420,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-04-20,2021-04-26,1
20210413,AK,98.60,1.40,0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,1
20210406,AK,97.44,2.56,0.00,0.00,0.00,0.00,2021-04-06,2021-04-12,1
20210330,AK,94.21,5.79,0.00,0.00,0.00,0.00,2021-03-30,2021-04-05,1
20210323,AK,94.21,5.79,0.00,0.00,0.00,0.00,2021-03-23,2021-03-29,1
20210316,AK,94.21,5.79,0.00,0.00,0.00,0.00,2021-03-16,2021-03-22,1
20210309,AK,94.21,5.79,0.00,0.00,0.00,0.00,2021-03-09,2021-03-15,1
20210302,AK,95.24,4.76,0.00,0.00,0.00,0.00,2021-03-02,2021-03-08,1
20210223,AK,84.28,15.72,0.00,0.00,0.00,0.00,2021-02-23,2021-03-01,1
20210216,AK,84.28,15.72,0.00,0.00,0.00,0.00,2021-02-16,2021-02-22,1
20210209,AK,84.28,15.72,0.00,0.00,0.00,0.00,2021-02-09,2021-02-15,1
20210202,AK,83.98,16.02,0.00,0.00,0.00,0.00,2021-02-02,2021-02-08,1
20210126,AK,96.45,3.55,0.00,0.00,0.00,0.00,2021-01-26,2021-02-01,1
20210119,AK,96.45,3.55,0.00,0.00,0.00,0.00,2021-01-19,2021-01-25,1
20210112,AK,96.45,3.55,0.00,0.00,0.00,0.00,2021-01-12,2021-01-18,1
20210105,AK,97.24,2.76,0.00,0.00,0.00,0.00,2021-01-05,2021-01-11,1
